id,latitude,longitude
999,55.921539,-3.387621
1000,55.919742,-3.387557
1001,55.917946,-3.387493
1002,55.916149,-3.387428
1003,55.914353,-3.387364
1004,55.912557,-3.3873
1005,55.91076,-3.387236
1006,55.908964,-3.387172
1007,55.907167,-3.387108
1008,55.905371,-3.387043
1009,55.903575,-3.386979
1010,55.901778,-3.386915
1011,55.899982,-3.386851
1012,55.898185,-3.386787
1013,55.896389,-3.386723
1014,55.894592,-3.386659
1015,55.892796,-3.386595
1016,55.891,-3.386531
1017,55.889203,-3.386467
1018,55.887407,-3.386403
1019,55.88561,-3.386339
1020,55.883814,-3.386275
1021,55.882018,-3.386211
1022,55.880221,-3.386146
1023,55.878425,-3.386082
1024,55.876628,-3.386018
1025,55.874832,-3.385954
1026,55.873035,-3.38589
1027,55.871239,-3.385826
1028,55.869443,-3.385762
1029,55.867646,-3.385698
1030,55.86585,-3.385634
1031,55.864053,-3.38557
1032,55.862257,-3.385506
1033,55.860461,-3.385443
1034,55.858664,-3.385379
1035,55.856868,-3.385315
1036,55.855071,-3.385251
1037,55.853275,-3.385187
1038,55.851478,-3.385123
1039,55.849682,-3.385059
1040,55.847886,-3.384995
1041,55.846089,-3.384931
1042,55.844293,-3.384867
1043,55.842496,-3.384803
1044,55.8407,-3.384739
1045,55.838904,-3.384676
1046,55.837107,-3.384612
1047,55.835311,-3.384548
1048,55.833514,-3.384484
1049,55.831718,-3.38442
1050,55.829921,-3.384356
1051,55.828125,-3.384293
1052,55.826329,-3.384229
1053,55.824532,-3.384165
1054,55.822736,-3.384101
1055,55.820939,-3.384037
1056,55.991635,-3.386926
1057,55.989838,-3.386862
1058,55.988042,-3.386798
1059,55.986245,-3.386733
1060,55.984449,-3.386669
1061,55.982653,-3.386605
1062,55.980856,-3.38654
1063,55.97906,-3.386476
1064,55.977263,-3.386412
1065,55.975467,-3.386347
1066,55.97367,-3.386283
